id,worker,scenario,paradigm,price importance,price min,price max,outbound departure importance,outbound departure min,outbound departure max,outbound arrival importance,outbound arrival min,outbound arrival max,outbound connections importance,outbound connections min,outbound connections max,outbound duration importance,outbound duration min,outbound duration max,returning departure importance,returning departure min,returning departure max,returning arrival importance,returning arrival min,returning arrival max,returning connections importance,returning connections min,returning connections max,returning duration importance,returning duration min,returning duration max,order1,order2,order3,order4
214,156,1,SimpleMAUT,7,400,400,3,975,975,3,1215,1215,2,1,1,5,240,240,3,570,570,3,840,840,2,1,1,5,270,270,,,,
215,156,12,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+returning departure,,,
216,157,1,SimpleMAUT,9,300,300,,,,,,,,,,2,165,165,,,,,,,,,,2,225,225,,,,
217,158,16,SortedBoolean,,,,,600,,,690,,,1,,,210,,,,855,,,1575,,1,,,90,,+outbound arrival,,,
218,159,8,SortedBoolean,,,,,750,,,,,,,,,,,,,,,,1425,,,,,,,+price,,,
219,160,8,SortedBoolean,,,,,720,,,,,,,,,,,,,,,,,,,,,,,+price,,,
220,161,4,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,162,19,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
222,163,16,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,164,18,SimpleMAUT,,,,,,,9,360,360,4,0,0,,,,,,,,,,,,,,,,,,,
224,165,19,Tradeoff,1,725,725,10,0,0,,,,,,,10,0,0,,,,,,,,,,20,0,0,,,,
225,166,16,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,167,1,SimpleMAUT,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,168,6,Tradeoff,1,175,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,168,7,SortedBoolean,,,,,465,,,,,,,,,,,,840,,,,,,,,,,,+duration,,,
229,168,18,SimpleMAUT,,,,,,,9,645,645,1,0,0,4,270,270,1,855,855,1,1200,1200,,,,,,,,,,
230,157,20,Tradeoff,1,225,225,70,210,210,40,600,600,10,1,1,,,,40,390,390,20,660,660,10,1,1,30,75,75,,,,
231,157,6,Tradeoff,1,175,175,50,195,195,,,,,,,,,,160,225,225,80,900,900,,,,,,,,,,
232,169,4,SimpleMAUT,,,,7,675,675,,,,,,,,,,,,,,,,,,,,,,,,,
233,170,16,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,170,6,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+price,+duration,
235,171,19,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
236,172,1,SimpleMAUT,9,0,0,3,0,0,3,360,360,3,0,0,4,0,0,3,0,0,3,360,360,4,0,0,3,0,0,,,,
