scenario,tid,price,outbound_departure,outbound_arrival,outbound_connections,outbound_duration,returning_departure,returning_arrival,returning_connections,returning_duration
8,9,768,380,964,1,404,1205,1509,1,484
8,10,1261,725,1343,1,438,1100,1540,2,620
8,11,703,599,1457,2,678,580,905,1,505
8,12,781,360,1235,2,695,555,835,1,460
8,13,821,1380,2122,1,562,925,1250,1,505
8,14,744,750,1333,1,403,580,905,1,505
8,15,710,380,964,1,404,595,1008,2,593
8,16,783,595,1190,1,415,580,905,1,505
8,17,748,735,1385,1,470,555,835,1,460
8,18,702,599,1333,1,554,555,835,1,460
8,19,776,1380,2122,1,562,580,905,1,505
8,20,748,595,1190,1,415,555,835,1,460
8,21,748,599,1457,2,678,925,1250,1,505
8,22,808,725,1343,1,438,555,835,1,460
8,23,706,750,1457,2,527,555,835,1,460
8,24,729,1155,2043,2,708,555,835,1,460
8,25,744,599,1232,1,453,580,905,1,505
8,26,781,360,1235,2,695,555,835,1,460
8,27,748,595,1190,1,415,555,835,1,460
8,28,1010,1380,2122,1,562,1110,1614,1,684
8,29,1024,360,1235,2,695,1160,1543,1,563
8,30,748,390,1075,1,505,555,835,1,460
8,31,744,599,1333,1,554,580,905,1,505
8,32,744,599,1232,1,453,580,905,1,505
8,33,702,750,1333,1,403,555,835,1,460
8,34,941,580,1416,2,656,555,835,1,460
8,35,626,380,964,1,404,555,835,1,460
8,36,713,380,964,1,404,925,1250,1,505
8,37,748,750,1457,2,527,580,905,1,505
8,38,626,380,964,1,404,555,835,1,460
8,39,788,725,1343,1,438,555,835,1,460
8,40,795,725,1343,1,438,555,835,1,460
8,41,661,599,1457,2,678,555,835,1,460
8,42,661,599,1457,2,678,555,835,1,460
8,43,702,599,1333,1,554,555,835,1,460
8,44,702,750,1333,1,403,555,835,1,460
8,45,702,599,1232,1,453,555,835,1,460
8,46,1189,735,1385,1,470,1100,1540,2,620
8,47,751,599,1457,2,678,595,1008,2,593
8,48,1261,725,1343,1,438,1100,1540,2,620
8,49,702,599,1232,1,453,555,835,1,460
8,50,748,390,1075,1,505,555,835,1,460
8,51,748,735,1385,1,470,555,835,1,460
8,52,1353,730,1424,1,514,1100,1540,2,620
8,53,702,599,1232,1,453,555,835,1,460
8,54,941,580,1416,2,656,555,835,1,460
8,55,668,380,964,1,404,580,905,1,505
8,56,912,380,1334,2,774,555,835,1,460
8,57,1447,580,1416,2,656,1075,1615,2,720
8,58,759,1030,1765,1,555,555,835,1,460
8,59,815,725,1343,1,438,555,835,1,460
9,1,283,329,654,1,505,1008,1680,1,492
9,2,281,329,654,1,505,1015,1658,1,463
9,3,281,820,1045,1,405,1008,1680,1,492
9,4,361,750,946,1,376,1160,1728,1,388
9,5,281,820,1045,1,405,1052,1624,1,392
9,6,444,800,980,1,360,1004,1503,1,319
9,7,301,910,1176,1,446,1182,1728,1,366
9,8,281,750,946,1,376,1008,1680,1,492
9,9,308,890,1162,1,452,780,1366,1,406
9,10,347,1120,1415,1,475,1250,1788,1,358
9,11,283,329,654,1,505,1240,1755,1,335
9,12,281,329,654,1,505,780,1366,1,406
9,13,281,910,1176,1,446,790,1332,1,362
9,14,308,890,1162,1,452,780,1366,1,406
9,15,283,329,654,1,505,1052,1624,1,392
9,16,283,329,654,1,505,1182,1728,1,366
9,17,347,750,946,1,376,1185,1748,1,383
9,18,281,329,654,1,505,1145,1743,1,418
9,19,283,329,654,1,505,610,1127,1,337
9,20,427,800,980,1,360,1004,1503,1,319
9,21,427,800,980,1,360,1004,1503,1,319
9,22,283,329,654,1,505,831,1366,1,355
9,23,283,329,654,1,505,610,1127,1,337
9,24,407,800,980,1,360,390,875,1,305
9,25,261,750,946,1,376,831,1366,1,355
9,26,281,329,654,1,505,780,1366,1,406
9,27,283,329,654,1,505,790,1332,1,362
9,28,347,750,946,1,376,1185,1748,1,383
9,29,261,750,946,1,376,790,1332,1,362
9,30,261,820,1045,1,405,831,1366,1,355
9,31,281,910,1176,1,446,831,1366,1,355
9,32,281,820,1045,1,405,1182,1728,1,366
9,33,444,800,980,1,360,1004,1503,1,319
9,34,281,750,946,1,376,1052,1624,1,392
9,35,281,750,946,1,376,1182,1728,1,366
9,36,400,565,880,1,495,390,875,1,305
9,37,261,820,1045,1,405,790,1332,1,362
9,38,400,1190,1380,1,370,390,875,1,305
9,39,347,750,946,1,376,1265,1905,1,460
10,1,572,435,613,0,178,1080,1248,0,168
10,2,572,550,726,0,176,1080,1248,0,168
10,3,569,555,725,0,170,1255,1422,0,167
10,4,569,555,725,0,170,690,847,0,157
10,5,606,990,1158,0,168,690,847,0,157
10,6,562,1140,1307,0,167,1155,1330,0,175
10,7,668,750,1085,1,335,850,1167,1,317
10,8,572,550,726,0,176,645,819,0,174
10,9,572,435,613,0,178,645,819,0,174
10,10,732,715,1085,1,370,1080,1375,1,295
10,11,569,1140,1307,0,167,690,847,0,157
10,12,573,540,835,1,295,690,847,0,157
10,13,606,885,1053,0,168,690,847,0,157
10,14,569,555,725,0,170,1255,1422,0,167
10,15,569,555,725,0,170,690,847,0,157
10,16,577,375,705,1,330,943,1314,1,371
10,17,572,1185,1364,0,179,465,630,0,165
10,18,562,555,725,0,170,1155,1330,0,175
10,19,572,1185,1364,0,179,645,819,0,174
10,20,572,550,726,0,176,465,630,0,165
10,21,572,795,970,0,175,465,630,0,165
10,22,606,885,1053,0,168,690,847,0,157
10,23,569,1140,1307,0,167,690,847,0,157
10,24,569,1140,1307,0,167,1255,1422,0,167
10,25,569,1140,1307,0,167,1155,1330,0,175
10,26,573,540,835,1,295,690,847,0,157
10,27,572,435,613,0,178,465,630,0,165
10,28,628,750,1085,1,335,1255,1422,0,167
10,29,628,750,1085,1,335,1255,1422,0,167
10,30,572,795,970,0,175,815,986,0,171
10,31,569,555,725,0,170,1155,1330,0,175
10,32,569,1140,1307,0,167,1155,1330,0,175
10,33,562,1140,1307,0,167,1255,1422,0,167
10,34,622,715,1085,1,370,915,1211,1,296
10,35,562,1140,1307,0,167,690,847,0,157
10,36,569,1140,1307,0,167,1255,1422,0,167
10,37,569,555,725,0,170,1155,1330,0,175
10,38,513,766,1081,1,315,849,1159,1,310
10,39,578,1005,1280,1,275,465,630,0,165
10,40,583,835,1095,1,260,515,785,2,270
10,41,562,1140,1307,0,167,690,847,0,157
10,42,562,555,725,0,170,690,847,0,157
10,43,562,555,725,0,170,1155,1330,0,175
10,44,562,1140,1307,0,167,1255,1422,0,167
10,45,562,1140,1307,0,167,1155,1330,0,175
10,46,719,375,705,1,330,640,910,1,270
10,47,572,435,613,0,178,815,986,0,171
10,48,1212,715,1085,1,370,855,1119,1,264
10,49,562,555,725,0,170,1255,1422,0,167
10,50,572,550,726,0,176,815,986,0,171
10,51,572,795,970,0,175,1080,1248,0,168
10,52,1212,715,1085,1,370,855,1119,1,264
10,53,562,555,725,0,170,1255,1422,0,167
10,54,622,715,1085,1,370,915,1211,1,296
10,55,562,555,725,0,170,690,847,0,157
10,56,612,715,1085,1,370,690,847,0,157
10,57,572,1185,1364,0,179,815,986,0,171
10,58,606,990,1158,0,168,690,847,0,157
11,1,353,375,809,2,434,1285,1592,1,307
11,2,353,360,600,1,240,1200,1673,2,473
11,3,345,360,600,1,240,1053,1503,2,450
11,4,343,375,809,2,434,1200,1613,2,413
11,5,575,708,791,0,83,1130,1474,2,344
11,6,343,360,745,1,385,1200,1613,2,413
11,7,759,375,467,0,92,600,679,0,79
